title,company,location,link
R&D분야 경력사원 (마곡/대전),LG화학,서울특별시,https://kr.indeed.com/viewjob?jk=5a08e103f073e6b1
백엔드 개발자(Python),액스,서울 서초구,https://kr.indeed.com/viewjob?jk=24d38e6721dfb0e4
[우리에프아이에스] 경력직 직원,우리에프아이에스,서울 마포구,https://kr.indeed.com/viewjob?jk=f372ca61fa5a0a18
[TmaxOS/R&D] OS부문 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/viewjob?jk=c77efc7bb98239d8
(신입/인턴) 리서치 사회조사 연구원,리서치앤유,서울 성동구,https://kr.indeed.com/viewjob?jk=a8a2e292ef8b0528
"Student Training in Engineering Program (STEP) 2022, People with Disabilities (장애인 채용)",Google,대한민국,https://kr.indeed.com/viewjob?jk=f8fe6fe8d5e8f401
2022년 7월 LG화학 신입사원 (학/석사),LG화학,서울 영등포구,https://kr.indeed.com/viewjob?jk=7766f49e6de35020
2022 신입/경력 사원,동아오츠카,서울 동대문구,https://kr.indeed.com/viewjob?jk=37a2bf22544fc5ab
Technical Support Engineer-AI&IoT,Microsoft,서울,https://kr.indeed.com/viewjob?jk=69d8b28653cb054d
Software,ASML,대한민국,https://kr.indeed.com/viewjob?jk=c7c700a8d7bd4b6e
2022년 7월 경력사원 (구매),LG에너지솔루션,서울,https://kr.indeed.com/viewjob?jk=4bd25141ca1b8639
[생산개발부문] 생산기술(선행/양산) (일반직)[신입],현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=b2fdcfd2404cca0b
"[IT] 서버 엔지니어[매니저, 책임매니저]",현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=d4d03b82f1fd02af
[인텔리전스랩스] 데이터 분석가 (ML 서비스 및 로그 분석),Nexon,경기도 성남,https://kr.indeed.com/viewjob?jk=7b89aebb86d5058d
한국필립모리스 2022년 상반기 수시,한국필립모리스㈜,서울 영등포구,https://kr.indeed.com/viewjob?jk=44e9ac7f0f94e784
딥러닝 기반 Computer Vision 개발자,에스케이텔레콤,서울 중구,https://kr.indeed.com/viewjob?jk=4cf24d3dd5919469
Technical Support Engineering-AKS,Microsoft,서울,https://kr.indeed.com/viewjob?jk=6d4c339f382395ab
2022년 7월 경력사원 (제조지능화),LG에너지솔루션,충청북도 청주,https://kr.indeed.com/viewjob?jk=26e18b8d1527c4da
각 부문 신입/경력 직원,한국전자금융,서울 마포구,https://kr.indeed.com/viewjob?jk=c00e56c9562df743
Software Engineer,Google,서울,https://kr.indeed.com/viewjob?jk=0cb4a784529cb1b8
양자컴퓨팅 및 MI(Material Informatics) 신입/경력,LG이노텍,서울 강서구,https://kr.indeed.com/viewjob?jk=f2eb8cf19b84b2c8
[Cartier] Data Analyst,Cartier,서울,https://kr.indeed.com/viewjob?jk=26c133b0874ce9ce
데이터 사이언스 분야 경력,LG전자,서울특별시,https://kr.indeed.com/viewjob?jk=55c025fc49316d27
UX Researcher,LINE Plus corporation,대한민국,https://kr.indeed.com/viewjob?jk=23dba89edb8a10d9
경남 인공지능/블록체인 교육과정 (2022 ICT이노베이션스케워 확산 사업),재단법인 한국에이아이블록체인융합원,대한민국,https://kr.indeed.com/viewjob?jk=df1a4900d5aaae78
[정보보안] 침해대응[매니저],현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=bf926e1e103f39b1
자산운용팀 전략/리스크팀 퀀트(겨울방학 인턴),마이퍼스트에셋자산운용,대한민국,https://kr.indeed.com/viewjob?jk=872035f47cfd4850
Technical Consultant,Veeva Systems,경기도,https://kr.indeed.com/viewjob?jk=d1dd8d47fe59b61c
[IT] 검색 데이터 엔지니어[책임매니저],현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=dd81492d39bcef63
Python 기반 빅데이터 처리 개발자,드림어스컴퍼니,서울 서초구,https://kr.indeed.com/viewjob?jk=d364360d1e0368e3
인공지능(딥러닝) 로봇 자동화 소프트웨어 개발자(Python우대),주식회사 토트 관심기업,서울 성수동1가,https://kr.indeed.com/viewjob?jk=058e9510f9548e49
Python 기반 빅데이터분석가,이노포스트 관심기업,서울 방배동,https://kr.indeed.com/viewjob?jk=9a9bd236f2d05ff3
[선행기술원] Virtual검증 _ 검증/해석[책임연구원],현대자동차그룹,성남 판교역,https://kr.indeed.com/viewjob?jk=0d571c647c477c68
2022년 7월 경력사원 (SCM),LG에너지솔루션,서울,https://kr.indeed.com/viewjob?jk=08c907cde463d712
"R&D Engineer, Sr Staff",Synopsys,경기도 성남,https://kr.indeed.com/viewjob?jk=3baeeb38be431566
[TmaxAI/R&D] NLP/음성 부문 AI모델 개발자(*전문연구요원 병역특례포함),티맥스소프트,성남 분당구,https://kr.indeed.com/viewjob?jk=91a52c936ba47b1a
[기술본부] 데이터거버넌스 엔지니어,Nexon,경기도 성남,https://kr.indeed.com/viewjob?jk=d37ee1c76b41a9aa
Software Engineer - Python and K8s,Canonical - Jobs,서울,https://kr.indeed.com/viewjob?jk=9e154b5b00d09b31
Software Engineer,Siemens Healthineers Ltd.,경기도 성남,https://kr.indeed.com/viewjob?jk=8b2d862d73f3daaf
[수시 ] 개발 부문별 경력자,SK플래닛 Tacademy,성남 분당구,https://kr.indeed.com/viewjob?jk=c7fd71312de45823
빅데이터 분야,LG유플러스,서울,https://kr.indeed.com/viewjob?jk=67c19d7ac0857ecd
클라우드 기술지원 엔지니어,NHN Enterprise,성남 판교역,https://kr.indeed.com/viewjob?jk=df0bb90702bee2ac
"응용프로그램개발,인공지능(AI),머신러닝,Python,TensorFlow",(주)에이아이시스템즈 관심기업,서울 역삼동,https://kr.indeed.com/viewjob?jk=eb926fc0cbbd16d1
Software Developer,Oracle,,https://kr.indeed.com/viewjob?jk=d7ea0d6abeeb7301
[넥슨코리아] 클라우드 시스템 엔지니어,Nexon,경기도 성남,https://kr.indeed.com/viewjob?jk=37f51a8d4e34cfce
Data Center Manager – Datacenter Operations,Oracle,서울,https://kr.indeed.com/viewjob?jk=fa76bd8f7c6cda89
AI Research Engineer,Intel,서울,https://kr.indeed.com/viewjob?jk=b22adf00b47eaa32
[IT] 고객데이터 서비스 플랫폼 기획[책임매니저],현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=3a7627d63e147bb0
포렌식 분석가,안랩,성남 분당구,https://kr.indeed.com/viewjob?jk=ed264b4c7114ebc0
"데이터 파이프라인 구축 및 운영[책임매니저(G3), 책임매니저(G4)]",현대자동차그룹,성남 판교역,https://kr.indeed.com/viewjob?jk=8a434fed99cb2307
R&D분야 경력사원 (마곡/대전),LG화학,서울특별시,https://kr.indeed.com/viewjob?jk=5a08e103f073e6b1
백엔드 개발자(Python),액스,서울 서초구,https://kr.indeed.com/viewjob?jk=24d38e6721dfb0e4
[우리에프아이에스] 경력직 직원,우리에프아이에스,서울 마포구,https://kr.indeed.com/viewjob?jk=f372ca61fa5a0a18
[TmaxOS/R&D] OS부문 개발자,티맥스소프트,성남 분당구,https://kr.indeed.com/viewjob?jk=c77efc7bb98239d8
(신입/인턴) 리서치 사회조사 연구원,리서치앤유,서울 성동구,https://kr.indeed.com/viewjob?jk=a8a2e292ef8b0528
"Student Training in Engineering Program (STEP) 2022, People with Disabilities (장애인 채용)",Google,대한민국,https://kr.indeed.com/viewjob?jk=f8fe6fe8d5e8f401
2022년 7월 LG화학 신입사원 (학/석사),LG화학,서울 영등포구,https://kr.indeed.com/viewjob?jk=7766f49e6de35020
2022 신입/경력 사원,동아오츠카,서울 동대문구,https://kr.indeed.com/viewjob?jk=37a2bf22544fc5ab
Technical Support Engineer-AI&IoT,Microsoft,서울,https://kr.indeed.com/viewjob?jk=69d8b28653cb054d
Software,ASML,대한민국,https://kr.indeed.com/viewjob?jk=c7c700a8d7bd4b6e
2022년 7월 경력사원 (구매),LG에너지솔루션,서울,https://kr.indeed.com/viewjob?jk=4bd25141ca1b8639
[생산개발부문] 생산기술(선행/양산) (일반직)[신입],현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=b2fdcfd2404cca0b
"[IT] 서버 엔지니어[매니저, 책임매니저]",현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=d4d03b82f1fd02af
[인텔리전스랩스] 데이터 분석가 (ML 서비스 및 로그 분석),Nexon,경기도 성남,https://kr.indeed.com/viewjob?jk=7b89aebb86d5058d
한국필립모리스 2022년 상반기 수시,한국필립모리스㈜,서울 영등포구,https://kr.indeed.com/viewjob?jk=44e9ac7f0f94e784
딥러닝 기반 Computer Vision 개발자,에스케이텔레콤,서울 중구,https://kr.indeed.com/viewjob?jk=4cf24d3dd5919469
Technical Support Engineering-AKS,Microsoft,서울,https://kr.indeed.com/viewjob?jk=6d4c339f382395ab
2022년 7월 경력사원 (제조지능화),LG에너지솔루션,충청북도 청주,https://kr.indeed.com/viewjob?jk=26e18b8d1527c4da
각 부문 신입/경력 직원,한국전자금융,서울 마포구,https://kr.indeed.com/viewjob?jk=c00e56c9562df743
Software Engineer,Google,서울,https://kr.indeed.com/viewjob?jk=0cb4a784529cb1b8
양자컴퓨팅 및 MI(Material Informatics) 신입/경력,LG이노텍,서울 강서구,https://kr.indeed.com/viewjob?jk=f2eb8cf19b84b2c8
[Cartier] Data Analyst,Cartier,서울,https://kr.indeed.com/viewjob?jk=26c133b0874ce9ce
데이터 사이언스 분야 경력,LG전자,서울특별시,https://kr.indeed.com/viewjob?jk=55c025fc49316d27
UX Researcher,LINE Plus corporation,대한민국,https://kr.indeed.com/viewjob?jk=23dba89edb8a10d9
경남 인공지능/블록체인 교육과정 (2022 ICT이노베이션스케워 확산 사업),재단법인 한국에이아이블록체인융합원,대한민국,https://kr.indeed.com/viewjob?jk=df1a4900d5aaae78
[정보보안] 침해대응[매니저],현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=bf926e1e103f39b1
자산운용팀 전략/리스크팀 퀀트(겨울방학 인턴),마이퍼스트에셋자산운용,대한민국,https://kr.indeed.com/viewjob?jk=872035f47cfd4850
Technical Consultant,Veeva Systems,경기도,https://kr.indeed.com/viewjob?jk=d1dd8d47fe59b61c
[IT] 검색 데이터 엔지니어[책임매니저],현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=dd81492d39bcef63
Python 기반 빅데이터 처리 개발자,드림어스컴퍼니,서울 서초구,https://kr.indeed.com/viewjob?jk=d364360d1e0368e3
인공지능(딥러닝) 로봇 자동화 소프트웨어 개발자(Python우대),주식회사 토트 관심기업,서울 성수동1가,https://kr.indeed.com/viewjob?jk=058e9510f9548e49
Python 기반 빅데이터분석가,이노포스트 관심기업,서울 방배동,https://kr.indeed.com/viewjob?jk=9a9bd236f2d05ff3
[선행기술원] Virtual검증 _ 검증/해석[책임연구원],현대자동차그룹,성남 판교역,https://kr.indeed.com/viewjob?jk=0d571c647c477c68
2022년 7월 경력사원 (SCM),LG에너지솔루션,서울,https://kr.indeed.com/viewjob?jk=08c907cde463d712
"R&D Engineer, Sr Staff",Synopsys,경기도 성남,https://kr.indeed.com/viewjob?jk=3baeeb38be431566
[TmaxAI/R&D] NLP/음성 부문 AI모델 개발자(*전문연구요원 병역특례포함),티맥스소프트,성남 분당구,https://kr.indeed.com/viewjob?jk=91a52c936ba47b1a
[기술본부] 데이터거버넌스 엔지니어,Nexon,경기도 성남,https://kr.indeed.com/viewjob?jk=d37ee1c76b41a9aa
Software Engineer - Python and K8s,Canonical - Jobs,서울,https://kr.indeed.com/viewjob?jk=9e154b5b00d09b31
Software Engineer,Siemens Healthineers Ltd.,경기도 성남,https://kr.indeed.com/viewjob?jk=8b2d862d73f3daaf
[수시 ] 개발 부문별 경력자,SK플래닛 Tacademy,성남 분당구,https://kr.indeed.com/viewjob?jk=c7fd71312de45823
빅데이터 분야,LG유플러스,서울,https://kr.indeed.com/viewjob?jk=67c19d7ac0857ecd
클라우드 기술지원 엔지니어,NHN Enterprise,성남 판교역,https://kr.indeed.com/viewjob?jk=df0bb90702bee2ac
"응용프로그램개발,인공지능(AI),머신러닝,Python,TensorFlow",(주)에이아이시스템즈 관심기업,서울 역삼동,https://kr.indeed.com/viewjob?jk=eb926fc0cbbd16d1
Software Developer,Oracle,,https://kr.indeed.com/viewjob?jk=d7ea0d6abeeb7301
[넥슨코리아] 클라우드 시스템 엔지니어,Nexon,경기도 성남,https://kr.indeed.com/viewjob?jk=37f51a8d4e34cfce
Data Center Manager – Datacenter Operations,Oracle,서울,https://kr.indeed.com/viewjob?jk=fa76bd8f7c6cda89
AI Research Engineer,Intel,서울,https://kr.indeed.com/viewjob?jk=b22adf00b47eaa32
[IT] 고객데이터 서비스 플랫폼 기획[책임매니저],현대자동차그룹,대한민국,https://kr.indeed.com/viewjob?jk=3a7627d63e147bb0
포렌식 분석가,안랩,성남 분당구,https://kr.indeed.com/viewjob?jk=ed264b4c7114ebc0
"데이터 파이프라인 구축 및 운영[책임매니저(G3), 책임매니저(G4)]",현대자동차그룹,성남 판교역,https://kr.indeed.com/viewjob?jk=8a434fed99cb2307
